x	y
604140	259721
604160	259740
604367	259786
604417	259805
604467	259805
604482	259868
604500	259921
604550	259930
604632	260025
604700	260012
604710	259983
604810	260007
604732	260247
604707	260300
605050	260546
605137	260592
605300	260655
605470	260697
605432	260803
605367	261005
605340	261082
605287	261277
605337	261286
605415	261310
605407	261335
605390	261493
605375	261575
605402	261692
605352	261887
605330	262010
605252	262147
605220	262232
605137	262257
605065	262290
604917	262437
604890	262510
604857	262577
604682	262675
604552	262835
604520	263047
604490	263187
604465	263387
604512	263375
604607	263310
604687	263107
604717	263005
604755	262907
604817	262772
604780	262740
604797	262682
604960	262680
605035	262657
605100	262720
605295	262830
605482	262920
605560	262940
605647	262950
605737	262950
605802	262957
605940	262955
605960	262875
605980	262815
606005	262762
606060	262675
606182	262775
606225	262665
606297	262612
606347	262632
606412	262735
606405	262995
606392	263115
606490	263250
606587	263352
606697	263457
606747	263562
606790	263685
606887	263897
606950	264027
606972	264167
606955	264265
606927	264327
606855	264452
606730	264570
606640	264692
606587	264657
606572	264637
606557	264630
606550	264612
606500	264600
606467	264572
606220	264792
606162	264837
606080	264890
606020	264860
605895	264767
605807	264692
605767	264617
605700	264522
605582	264452
605577	264417
605432	264255
605245	264165
605200	264157
605102	264212
605005	264260
604797	264190
604702	264260
604660	264382
604725	264605
604645	264800
604597	264927
604525	265000
604477	265052
604515	265170
604542	265287
604582	265400
604560	265492
604590	265492
604625	265500
604652	265522
604660	265547
604697	265577
604715	265597
604715	265612
604760	265647
604782	265655
604792	265680
604802	265687
604820	265687
604832	265705
604832	265727
604845	265747
604862	265755
604872	265752
604942	265812
604930	265840
604935	265867
604992	265910
605030	265967
605047	265980
605060	265982
605070	265995
605105	266000
605165	266030
605190	266015
605200	266023
605265	266045
605285	266060
605300	266080
605315	266128
605360	266083
605443	265978
605513	266005
605585	266023
605673	266050
605880	266085
605970	266140
606040	266195
606163	266325
606293	266455
606270	266480
606530	266698
606488	266760
606678	266908
606850	267008
606930	267050
606925	267065
607153	267133
607358	267200
607410	267260
607585	267485
607660	267403
607675	267440
607800	267555
607910	267665
608138	267875
608203	267898
608355	267978
608443	268030
608538	268075
608728	268190
608935	268263
608980	268450
609048	268640
609083	268755
609010	268823
608863	268978
608893	269073
608908	269108
608983	269145
609315	269365
609463	269455
609540	269515
609618	269678
609815	269650
610005	269615
610155	269553
610283	269508
610368	269543
610555	269563
610705	269525
610993	269440
610980	269545
610980	269705
610975	269770
610993	269998
611005	270088
611063	270368
611133	270575
611183	270708
611228	270808
611318	271035
611875	270845
612025	270783
612338	270590
612500	270493
612483	270253
612453	270088
612483	270085
612498	270070
612505	269985
612548	269925
612513	269705
612853	269738
613140	269735
613273	269718
613405	269683
613583	269593
613830	269755
614003	269880
614063	269920
614113	269973
614245	270088
614370	270215
614483	270335
614550	270418
614665	270538
614705	270588
614815	270780
614880	270868
615115	271088
615235	271133
615390	271200
615288	271385
615278	271513
615373	271610
615475	271690
615570	271823
615783	271755
615825	271745
615988	271688
616080	271680
616168	271665
616283	271653
616545	271553
616663	271515
616783	271468
616998	271353
617208	271275
617570	271270
617683	271273
617788	271280
617818	271400
617860	271455
617918	271540
618010	271655
618135	271768
618205	271858
618278	271878
618330	271940
618378	272005
618518	272033
618688	272028
618755	272020
618855	272045
618948	272085
619028	272130
619153	272280
619185	272263
619133	272118
619058	272033
618923	271905
618808	271880
618643	271833
618505	271803
618430	271730
618375	271635
618305	271535
618263	271488
618183	271375
618105	271295
617963	271208
617815	271055
617658	270870
617535	270758
617563	270530
617780	270415
617933	270365
618083	270313
618228	270253
618260	270060
618288	269880
618313	269668
618390	269623
618453	269580
618453	269465
618443	269270
618493	269260
618585	269178
618683	269155
618843	269110
618870	269043
618893	269008
618840	268870
618805	268828
618708	268670
618678	268580
618663	268510
618635	268428
618618	268355
618525	268518
618483	268605
618450	268650
618428	268660
618438	268795
618450	268900
618433	268978
618323	268925
618143	268810
618083	268765
618050	268730
618028	268680
618013	268630
617940	268515
617803	268323
617883	268303
617965	268270
617968	268140
617840	268108
617748	268108
617605	268135
617593	268213
617588	268283
617593	268328
617468	268370
617433	268370
617373	268350
617223	268310
617088	268288
616973	268323
616878	268303
616568	268215
616503	268158
616415	268058
616383	267993
616368	267978
616328	267975
616250	267983
616108	267918
616043	267885
615935	267818
615828	267745
615778	267713
615708	267745
615613	267798
615538	267828
615463	267865
615248	267853
615165	267928
615023	268073
614868	268140
614758	267943
614703	267858
614978	267700
615058	267625
615125	267553
615160	267498
615285	267345
615358	267235
615398	267185
615583	266843
615695	266638
615735	266570
615788	266505
615858	266435
615923	266358
615968	266318
616058	266275
616203	266220
616418	266173
616510	266155
616618	266128
616685	266103
616720	266080
616773	266035
616792	266000
616820	265950
616867	265805
616922	265612
617002	265390
617050	265302
617097	265230
617232	265075
617285	265022
617365	264975
617467	264927
617730	264832
617807	264790
617912	264760
618065	264725
618162	264707
618250	264682
618342	264675
618540	264677
618645	264675
618682	264675
618755	264675
618925	264670
619005	264657
619187	264660
619277	264665
619445	264702
619587	264770
619682	264832
619875	264995
620000	265060
620062	265082
620122	265137
620192	265182
620280	265225
620540	265377
620615	265405
620701	265461
620827	265543
620954	265626
621027	265666
621093	265692
621163	265713
621311	265735
621463	265757
621729	265797
622000	265820
622235	265835
622313	265844
622677	265886
623010	265926
623290	265976
623511	266016
623575	266040
623652	266085
623782	266175
623930	266375
624010	266440
624073	266487
624312	266578
624403	266613
624892	266762
625175	266891
625518	266938
625948	267010
626141	267095
626300	267157
626482	267260
626572	267317
626772	267407
626890	267470
626933	267537
627002	267697
627062	267832
627100	267907
627152	267995
627260	268140
627375	268260
627445	268322
627752	268547
627900	268650
628007	268740
628060	268812
628117	268932
628147	269037
628152	269092
628175	269237
628187	269425
628220	269640
628235	269792
628282	269990
628312	270062
628410	270347
628527	270590
628575	270715
628610	270757
628657	270792
628705	270817
628807	270852
628877	270867
628995	270872
629127	270860
629277	270835
629325	270822
629452	270800
629577	270785
629627	270772
629697	270741
629749	270711
629770	270699
629804	270655
629827	270597
629855	270533
629902	270442
629960	270364
629999	270332
630060	270290
630160	270257
630227	270227
630297	270225
630462	270245
630557	270245
630640	270252
630845	270322
630932	270365
631032	270402
631100	270437
631227	270487
631375	270570
631572	270730
631625	270780
631862	270882
632142	270950
632277	270975
632397	270990
632492	270992
632602	270972
632970	270952
633197	270977
633295	270982
633367	270992
633502	270995
633587	270992
633672	270972
633752	270962
633830	270940
633937	270915
634102	270832
634165	270807
634217	270780
634260	270737
634370	270655
634452	270572
634555	270457
634637	270362
634787	270237
634865	270175
634932	270127
634980	270065
635125	269837
635182	269770
635217	269712
635315	269517
635350	269427
635397	269332
635432	269235
635475	269142
635510	269052
635542	268945
635555	268850
635580	268710
635577	268627
635562	268550
635542	268477
635515	268402
635482	268330
635452	268275
635375	268157
635302	268035
635270	267935
635262	267807
635267	267730
635285	267587
635332	267402
635345	267320
635375	267235
635452	267027
635507	266935
635612	266785
635732	266660
635795	266610
635855	266552
636015	266447
636100	266405
636295	266357
636390	266340
636490	266330
636702	266340
636805	266355
636992	266370
637152	266362
637263	266339
637437	266277
637500	266257
637570	266225
637675	266162
