river_nr	x	y	river
1	550213	185392	rhine
1	550215	185391	rhine
1	550236	185402	rhine
1	550244	185410	rhine
1	550243	185412	rhine
1	550242	185417	rhine
1	550211	185459	rhine
1	550186	185488	rhine
1	550175	185498	rhine
1	550172	185503	rhine
1	550176	185514	rhine
1	550173	185518	rhine
1	550160	185531	rhine
1	550115	185584	rhine
1	550113	185588	rhine
1	550103	185602	rhine
1	550095	185618	rhine
1	550091	185644	rhine
1	550086	185662	rhine
1	550091	185669	rhine
1	550105	185680	rhine
1	550125	185688	rhine
1	550151	185704	rhine
1	550164	185733	rhine
1	550162	185774	rhine
1	550165	185796	rhine
1	550178	185804	rhine
1	550187	185807	rhine
1	550201	185812	rhine
1	550202	185822	rhine
1	550206	185839	rhine
1	550225	185850	rhine
1	550238	185861	rhine
1	550255	185867	rhine
1	550265	185884	rhine
1	550273	185900	rhine
1	550276	185911	rhine
1	550281	185911	rhine
1	550288	185901	rhine
1	550311	185886	rhine
1	550316	185882	rhine
1	550326	185865	rhine
1	550327	185829	rhine
1	550328	185810	rhine
1	550331	185805	rhine
1	550336	185805	rhine
1	550343	185811	rhine
1	550345	185813	rhine
1	550368	185830	rhine
1	550409	185863	rhine
1	550444	185893	rhine
1	550519	185950	rhine
1	550518	185954	rhine
1	550516	185958	rhine
1	550506	185970	rhine
1	550504	185973	rhine
1	550500	185970	rhine
1	550429	185915	rhine
1	550386	185885	rhine
1	550371	185887	rhine
1	550345	185891	rhine
1	550340	185894	rhine
1	550329	185903	rhine
1	550325	185906	rhine
1	550303	185926	rhine
1	550302	185937	rhine
1	550336	185990	rhine
1	550378	186056	rhine
1	550394	186086	rhine
1	550397	186116	rhine
1	550395	186125	rhine
1	550409	186153	rhine
1	550429	186161	rhine
1	550439	186191	rhine
1	550441	186216	rhine
1	550464	186235	rhine
1	550467	186238	rhine
1	550501	186251	rhine
1	550507	186258	rhine
1	550513	186266	rhine
1	550520	186296	rhine
1	550537	186309	rhine
1	550538	186311	rhine
1	550563	186321	rhine
1	550568	186323	rhine
1	550589	186335	rhine
1	550598	186349	rhine
1	550615	186363	rhine
1	550634	186367	rhine
1	550646	186377	rhine
1	550664	186410	rhine
1	550677	186423	rhine
1	550685	186430	rhine
1	550688	186441	rhine
1	550701	186432	rhine
1	550712	186415	rhine
1	550731	186413	rhine
1	550739	186416	rhine
1	550766	186427	rhine
1	550795	186438	rhine
1	550847	186478	rhine
1	550876	186508	rhine
1	550888	186522	rhine
1	550898	186533	rhine
1	550908	186555	rhine
1	550913	186568	rhine
1	550914	186585	rhine
1	550908	186599	rhine
1	550913	186609	rhine
1	550932	186611	rhine
1	550949	186617	rhine
1	550956	186624	rhine
1	550968	186638	rhine
1	550975	186657	rhine
1	550985	186656	rhine
1	551004	186650	rhine
1	551023	186652	rhine
1	551051	186668	rhine
1	551080	186685	rhine
1	551093	186712	rhine
1	551107	186737	rhine
1	551129	186770	rhine
1	551131	186790	rhine
1	551121	186802	rhine
1	551114	186817	rhine
1	551126	186824	rhine
1	551135	186823	rhine
1	551145	186823	rhine
1	551161	186863	rhine
1	551173	186899	rhine
1	551185	186910	rhine
1	551211	186912	rhine
1	551241	186920	rhine
1	551250	186947	rhine
1	551277	186978	rhine
1	551291	187015	rhine
1	551325	187017	rhine
1	551338	187016	rhine
1	551365	187033	rhine
1	551403	187065	rhine
1	551460	187095	rhine
1	551484	187109	rhine
1	551506	187118	rhine
1	551511	187128	rhine
1	551518	187142	rhine
1	551537	187160	rhine
1	551557	187169	rhine
1	551567	187179	rhine
1	551607	187217	rhine
1	551626	187267	rhine
1	551701	187355	rhine
1	551767	187374	rhine
1	551792	187398	rhine
1	551803	187428	rhine
1	551817	187428	rhine
1	551832	187430	rhine
1	551845	187459	rhine
1	551867	187490	rhine
1	551886	187497	rhine
1	551889	187500	rhine
1	551893	187507	rhine
1	551894	187525	rhine
1	551897	187530	rhine
1	551910	187522	rhine
1	551935	187539	rhine
1	551952	187569	rhine
1	551971	187575	rhine
1	551991	187575	rhine
1	552020	187575	rhine
1	552053	187575	rhine
1	552082	187595	rhine
1	552109	187642	rhine
1	552114	187662	rhine
1	552120	187691	rhine
