locality	valid	xkoord	ykoord	year	locality_name	masl	drainage	river_category	river_name	Strahler_order	distance_to_outlet	catchment	width	depth	var_depth	var_waterlevel	river_bed_modified	natural_cascades	embankment_modifications	width_riparian_left	width_riparian_right	cascades	cascade_height	mud	turbidity	foam	FeS	clogging	waste	periphyton	algae	moss	macrophytes	MSK_class	Agriculture_prop_500m	Woods_prop_500m	Meadows_prop_500m	Settlement_prop_500m	Water_prop_500m	Agriculture_prop_1km	Woods_prop_1km	Meadows_prop_1km	Settlement_prop_1km	Water_prop_1km	Calcite_prop_1km	Agriculture_prop_5km	Woods_prop_5km	Meadows_prop_5km	Settlement_prop_5km	Water_prop_5km	Calcite_prop_5km	Agriculture_prop_10km	Woods_prop_10km	Meadows_prop_10km	Settlement_prop_10km	Water_prop_10km	Calcite_prop_10km	Agriculture_prop_100km	Woods_prop_100km	Meadows_prop_100km	Settlement_prop_100km	Water_prop_100km	Calcite_prop_100km	Agriculture_prop_1000km	Woods_prop_1000km	Meadows_prop_1000km	Settlement_prop_1000km	Water_prop_1000km	Calcite_prop_1000km
647134	valid	647015	134117	2009	Moerel	750	RHONE	Fluss	Rhone	5	221468	568931796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.086666667	0.26	0	0.12	0.02	0.084415584	0.287878788	0.032467532	0.054112554	0.010822511	0.370654848	0.072188668	0.21958585	0.074489502	0.018119068	0.003882657	0.287321679	0.04939632	0.194662706	0.106075125	0.014564967	0.004216175	0.254320093	0.028452515	0.096729342	0.108920646	0.006813871	0.005138027	0.107237475	0.028452515	0.096729342	0.108920646	0.006813871	0.005138027	0.607114184
647198	valid	647365	198007	2009	Schuepfheim	1180	RHEIN	Bach	KleineEntle	3	192293	981025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.054347826	0.27173913	0.163043478	0	0	0.061320755	0.212264151	0.221698113	0	0	0.854730303	0.055	0.215	0.225	0	0	0.854347101	0.061320755	0.212264151	0.221698113	0	0	0.854347101	0.061320755	0.212264151	0.221698113	0	0	0.854347101	0.061320755	0.212264151	0.221698113	0	0	0.349161215
653174	valid	653061	174730	2009	Meiringen	1380	RHEIN	Bach	Wandelbach	3	293595	5799350	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.327102804	0.130841121	0.009345794	0.009345794	0.006825939	0.228668942	0.218430034	0.006825939	0.010238908	1	0.001793722	0.064573991	0.303139013	0.001793722	0.003587444	0.825649436	0.000861326	0.081826012	0.291989664	0.001722653	0.003445306	0.825649436	0.000861326	0.081826012	0.291989664	0.001722653	0.003445306	0.825649436	0.000861326	0.081826012	0.291989664	0.001722653	0.003445306	0.705707837
671246	valid	671000	246245	2009	Rudolfstetten	580	RHEIN	Bach	Rummelbach	2	111602	6866832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3	0.0375	0	0.1625	0	0.26618705	0.080935252	0	0.151079137	0	0.108943199	0.269343066	0.099270073	0	0.130656934	0	0.292462259	0.270562771	0.098124098	0	0.130591631	0	0.292462259	0.270562771	0.098124098	0	0.130591631	0	0.292462259	0.270562771	0.098124098	0	0.130591631	0	0.192161421
683214	valid	683015	214059	2009	Arth	460	RHEIN	Bach	Sagenmattlibach	3	152480	582596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	0.166666667	0	0.041666667	0.041666667	0.208333333	0.260416667	0	0.010416667	0.010416667	0.612188168	0.175	0.3	0	0.008333333	0.008333333	0.449687637	0.185483871	0.290322581	0	0.008064516	0.008064516	0.449687637	0.185483871	0.290322581	0	0.008064516	0.008064516	0.449687637	0.185483871	0.290322581	0	0.008064516	0.008064516	0.021739414
695246	valid	695003	246778	2009	Uster	450	RHEIN	Bach	ZuflussGreifensee	3	132982	2825669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.313432836	0.037313433	0	0.149253731	0	0.287581699	0.052287582	0	0.114379085	0.003267974	0.266151379	0.231448763	0.081272085	0	0.157243816	0.001766784	0.260618262	0.229965157	0.080139373	0	0.160278746	0.00174216	0.260618262	0.229965157	0.080139373	0	0.160278746	0.00174216	0.260618262	0.229965157	0.080139373	0	0.160278746	0.00174216	0.410757369
707166	valid	707793	166000	2009	Acla	1450	RHEIN	Fluss	MedelserRhein	3	363057	80655670	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.168224299	0.158878505	0.08411215	0	0.028037383	0.065395095	0.29972752	0.076294278	0.005449591	0.013623978	0	0.007791196	0.130697312	0.108881963	0.002921698	0.007791196	0	0.003171583	0.062638757	0.085632731	0.00190295	0.020298129	0.043931025	0.002749897	0.054310463	0.09494019	0.001718686	0.019111783	0.037834311	0.002749897	0.054310463	0.09494019	0.001718686	0.019111783	0.553306585
707246	valid	707000	246000	2009	Baeretswil	700	RHEIN	Bach	Wissenbach	3	147316	7008835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.057377049	0.426229508	0	0.016393443	0	0.206060606	0.248484848	0	0.033333333	0.003030303	0.490507277	0.209770115	0.247844828	0	0.03591954	0.000718391	0.720073432	0.210300429	0.246781116	0	0.036480687	0.000715308	0.720073432	0.210300429	0.246781116	0	0.036480687	0.000715308	0.720073432	0.210300429	0.246781116	0	0.036480687	0.000715308	0.251629186
713110	valid	713000	110469	2009	Cadenazzo	650	TICINO	Bach	Ticionozufluss	2	46559	854927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.018691589	0.457943925	0	0.009345794	0	0.016129032	0.419354839	0.005376344	0.032258065	0	0	0.01744186	0.436046512	0	0.029069767	0	0	0.019607843	0.421568627	0.004901961	0.034313725	0	0	0.019607843	0.421568627	0.004901961	0.034313725	0	0	0.019607843	0.421568627	0.004901961	0.034313725	0	1
713174	valid	713194	174927	2009	Vitg	1200	RHEIN	Bach	Rheinzufluss	2	349598	2918911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	0.222222222	0	0.027777778	0	0.141975309	0.271604938	0.055555556	0.012345679	0	0	0.025817556	0.165232358	0.206540448	0.003442341	0.00172117	0.033553533	0.032357473	0.175654854	0.194144838	0.004622496	0.004622496	0.033553533	0.032357473	0.175654854	0.194144838	0.004622496	0.004622496	0.033553533	0.032357473	0.175654854	0.194144838	0.004622496	0.004622496	1
719086	valid	720014	86071	2009	Melano	300	TICINO	Bach	Molino	3	47645	635646	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.366666667	0	0.1	0.033333333	0	0.447916667	0	0.041666667	0.010416667	0.969292004	0	0.470149254	0	0.02238806	0.007462687	0.980709479	0	0.465277778	0	0.027777778	0.006944444	0.980709479	0	0.465277778	0	0.027777778	0.006944444	0.980709479	0	0.465277778	0	0.027777778	0.006944444	0.682435525
719278	valid	718999	278231	2009	Euggerschwil	680	RHEIN	Bach	Bodenseezufluss	2	153150	3855646	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.077777778	0.422222222	0	0	0	0.171945701	0.312217195	0	0.009049774	0.004524887	0.476574988	0.297817715	0.170731707	0	0.028241335	0.002567394	0.404876859	0.301886792	0.167295597	0	0.027672956	0.002515723	0.404876859	0.301886792	0.167295597	0	0.027672956	0.002515723	0.404876859	0.301886792	0.167295597	0	0.027672956	0.002515723	0.61602633
725126	valid	725798	127000	2009	Buseno	1880	TICINO	Bach	RiaDeCiarin	2	76540	1926698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.095890411	0.287671233	0	0	0	0.055944056	0.29020979	0	0	0	0	0.041436464	0.267955801	0	0	0	0	0.050397878	0.25994695	0	0	0	0	0.050397878	0.25994695	0	0	0	0	0.050397878	0.25994695	0	0	1
725174	valid	725019	175000	2009	Prada	1850	RHEIN	Bach	Alpettlibach	3	341369	5777972	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.1375	0.25	0	0	0	0.058035714	0.361607143	0	0.017857143	0.072288487	0	0.00952381	0.453679654	0.001731602	0.007792208	0.202020627	0	0.009507347	0.453759723	0.001728608	0.007778738	0.202020627	0	0.009507347	0.453759723	0.001728608	0.007778738	0.202020627	0	0.009507347	0.453759723	0.001728608	0.007778738	0.62147027
725222	valid	725782	220007	2009	Weesen	520	RHEIN	Bach	Weesenbach	3	180102	2947547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0625	0.4375	0	0	0	0.133858268	0.358267717	0	0.007874016	0	0.613570059	0.08277027	0.359797297	0.054054054	0.003378378	0	0.653066213	0.083056478	0.357142857	0.054817276	0.004983389	0	0.653066213	0.083056478	0.357142857	0.054817276	0.004983389	0	0.653066213	0.083056478	0.357142857	0.054817276	0.004983389	0	0.011630008
743222	valid	743822	221990	2009	Walenstadt	1100	RHEIN	Bach	Widenbach	2	195131	2554894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.3359375	0.1328125	0.0078125	0.0078125	0.005730659	0.263610315	0.197707736	0.008595989	0.00286533	0.501452152	0.012121212	0.18989899	0.222222222	0.018181818	0.002020202	0.659940968	0.026666667	0.192380952	0.20952381	0.017142857	0.001904762	0.659940968	0.026666667	0.192380952	0.20952381	0.017142857	0.001904762	0.659940968	0.026666667	0.192380952	0.20952381	0.017142857	0.001904762	0.136338674
773142	valid	773190	142000	2009	Maloja	1850	INN	Bach	Stampa	3	104380	3103016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.056818182	0.136363636	0.204545455	0	0	0.049773756	0.054298643	0.271493213	0.022624434	0.004524887	0	0.015100671	0.021812081	0.147651007	0.005033557	0.011744966	0.050476178	0.014634146	0.021138211	0.149593496	0.008130081	0.011382114	0.050476178	0.014634146	0.021138211	0.149593496	0.008130081	0.011382114	0.050476178	0.014634146	0.021138211	0.149593496	0.008130081	0.011382114	0.317855059
542155	valid	542000	155385	2010	Epalinges	759	RHONE	Bach	Flon_Morand	2	88510	2803063	3.50	0.15	2_medium	2_medium	10.00	no	1_no	15.00	15.00	1_no	0.00	1_no	1_no	2_medium	2_medium	2_medium	1_no	1_no	2_medium	2_medium	NA	2_low_impacted	0.102803738	0.345794393	0	0.046728972	0	0.130268199	0.222222222	0	0.141762452	0	0.507347848	0.110320285	0.233096085	0	0.151245552	0.001779359	0.254777673	0.113300493	0.234811166	0	0.146141215	0.001642036	0.254777673	0.113300493	0.234811166	0	0.146141215	0.001642036	0.254777673	0.113300493	0.234811166	0	0.146141215	0.001642036	1
548219	valid	548785	219000	2010	Les_Planchettes	629	RHONE	Fluss	Doubs	4	127176	895681912	10.00	1.50	3_high	3_high	0.00	yes	1_no	16.00	16.00	1_no	0.00	1_no	1_no	1_no	1_no	2_medium	1_no	1_no	2_medium	2_medium	NA	1_natural	0.081081081	0.391891892	0.027027027	0	0	0.074468085	0.368794326	0.046099291	0.010638298	0	0.73411613	0.122920717	0.278245841	0.076258371	0.011449557	0.008857205	0.971810668	0.146429142	0.216648027	0.088991852	0.039223518	0.006470682	0.929084538	0.138675729	0.225169919	0.097950011	0.031572024	0.004494628	0.905323409	0.138675729	0.225169919	0.097950011	0.031572024	0.004494628	0.548424286
554163	valid	554000	163560	2010	Vauderens	669	RHEIN	Bach	Ruisseau_du_Charotton	2	273871	3298593	1.30	0.20	2_medium	2_medium	0.00	no	2_low	1.00	15.00	1_no	0.00	1_no	1_no	1_no	2_medium	2_medium	1_no	1_no	1_no	NA	NA	2_low_impacted	0.467213115	0.024590164	0	0.008196721	0	0.445121951	0.018292683	0	0.036585366	0	0.052806002	0.314984709	0.149847095	0	0.033639144	0	0.243738838	0.317507418	0.146884273	0	0.034124629	0	0.243738838	0.317507418	0.146884273	0	0.034124629	0	0.243738838	0.317507418	0.146884273	0	0.034124629	0	0.035065673
560107	zero	560107	107000	2010	Salvan	2398	RHONE	Bach	Ruisseau_de_la_Tour_Salli_re	2	123688	1056014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0.880521852
560147	valid	560578	148000	2010	Blonay	1054	RHONE	Bach	NA	2	105792	708650	0.80	0.08	3_high	3_high	0.00	yes	1_no	15.00	10.00	2_natural	10.00	1_no	1_no	1_no	1_no	1_no	1_no	1_no	1_no	1_no	NA	1_natural	0	0.03125	0.34375	0.125	0	0.100840336	0.142857143	0.18487395	0.058823529	0	0.659136838	0.092198582	0.163120567	0.19858156	0.035460993	0	0.72361501	0.091503268	0.163398693	0.202614379	0.032679739	0	0.72361501	0.091503268	0.163398693	0.202614379	0.032679739	0	0.72361501	0.091503268	0.163398693	0.202614379	0.032679739	0	1
560187	valid	560000	187664	2010	Payerne	445	RHEIN	Bach	NA	2	245040	8106260	1.80	0.20	2_medium	1_no	0.00	no	1_no	2.50	2.50	1_no	0.00	3_high	1_no	1_no	1_no	3_high	1_no	1_no	1_no	NA	1_no	3_high_impacted	0.376811594	0.043478261	0	0.072463768	0	0.407657658	0.027027027	0	0.063063063	0	0	0.413533835	0.020766201	0	0.063730755	0.000358038	0	0.415172008	0.019406057	0	0.059688327	0.003528374	0	0.415924116	0.019258408	0	0.05863754	0.004024145	0	0.415924116	0.019258408	0	0.05863754	0.004024145	0.140824782
566131	valid	566591	131000	2010	Leysin	861	RHONE	Bach	NA	2	113893	3148865	1.20	0.20	3_high	3_high	0.00	yes	1_no	15.00	15.00	2_natural	150.00	1_no	1_no	2_medium	1_no	1_no	1_no	1_no	2_medium	NA	NA	1_natural	0.051020408	0.408163265	0.030612245	0.010204082	0	0.043103448	0.392241379	0.056034483	0.00862069	0	1	0.032206119	0.288244767	0.093397746	0.062801932	0	1	0.03271028	0.291277259	0.090342679	0.060747664	0	1	0.03271028	0.291277259	0.090342679	0.060747664	0	1	0.03271028	0.291277259	0.090342679	0.060747664	0	0.592090747
566171	valid	566355	172000	2010	Villorsonnens	807	RHEIN	Bach	Ruisseau_du_Gl_be	3	258647	4101991	1.30	0.10	2_medium	2_medium	0.00	no	1_no	1.00	3.00	1_no	0.00	1_no	1_no	1_no	1_no	3_high	1_no	1_no	1_no	NA	NA	2_low_impacted	0.428571429	0.038961039	0	0.032467532	0	0.353658537	0.102439024	0	0.041463415	0	0.094663621	0.329683698	0.141119221	0	0.027980535	0	0.274629965	0.330952381	0.14047619	0	0.027380952	0	0.274629965	0.330952381	0.14047619	0	0.027380952	0	0.274629965	0.330952381	0.14047619	0	0.027380952	0	0.196625604
572155	valid	572423	155000	2010	Grandvillard	727	RHEIN	Bach	Tona	3	277903	19127681	3.00	0.25	2_medium	2_medium	0.00	yes	1_no	3.00	3.00	3_artificial	30.00	1_no	3_high	1_no	1_no	1_no	1_no	1_no	NA	2_medium	NA	2_low_impacted	0.238095238	0.023809524	0.071428571	0.166666667	0	0.268115942	0.050724638	0.079710145	0.101449275	0	0.19016889	0.023664396	0.183936895	0.240588024	0.010039441	0.003944066	0.620705435	0.019087137	0.149377593	0.212171508	0.008298755	0.003042877	0.697353456	0.019087137	0.149377593	0.212171508	0.008298755	0.003042877	0.697353456	0.019087137	0.149377593	0.212171508	0.008298755	0.003042877	0.285318135
