#######river number and name
#1 Orbe
#2 Talent
#3 Mentue
#4 Areuse
#5 
#6 
#7 Broye
#8 Suze
#9 La jogne
#10 Sarine
#11 Glane
#12 Aare
#13 Guerbe
#14 Simme
#15 Kander
#16 Aare
#17 Luetschine
#18 Schwarze Luetschine
#19 Aare
#20 Rhein
#21 Rhein
#22 Vorderrhein
#23 Sense
#24 Landquart
#25 Birs
#26 La Sorne
#27 Scheulte
#28 Ergolz
#29 Sissle
#30 Aare
#31 Langete
#32 Wigger
#33 Suhr
#34 Aa
#35 Grosse Emme
#36 Ilfis
#37 Kleine Emme
#38 Sitter
#39 Entlen
#40 Reuss
#41 Sarner Aa
#42 Aa
#43 Reuss
#44 Schaechen
#45 Muota
#46 Sihl
#47 Glatt
#48 Limmat
#49 Thur
#50 Murg
#51 Toess
#52 Linth
#53 Waegitaler Aa
#54 Linth
#55 Sernf
#56 Hinterrhein
#57 Landwasser
#58 Albula
#59 Ragn da Ferrera
#60 Vispa
#61 Drance
#62 La Borgne
#63 La Liene
#64 La Vieze
#65 Grande Eau
#66 Venoge
#67 Rhone
#68 Rhone
#69 Doubs
#70 Ticino
#71 Moesa
#72 Diveria
#73 Cassarate
#74 Maggia
#75 Mera
#76 Poschiavino
#77 Flaz
#78 Spoel
#79 En
#80 Breggia			
#81 Faloppia			
#82 Etsch			
#83 Etsch			
#############################			
river_nr	x	y	river
1	520177	174993	rhine
1	520197	175033	rhine
1	520210	175046	rhine
1	520264	175081	rhine
1	520304	175115	rhine
1	520338	175125	rhine
1	520363	175127	rhine
1	520399	175119	rhine
1	520446	175103	rhine
1	520491	175090	rhine
1	520518	175086	rhine
1	520556	175089	rhine
1	520604	175099	rhine
1	520648	175101	rhine
1	520710	175103	rhine
1	520748	175120	rhine
1	520869	175142	rhine
1	520887	175135	rhine
1	520911	175119	rhine
1	520938	175104	rhine
1	520956	175097	rhine
1	520963	175092	rhine
1	520990	175061	rhine
1	521002	175040	rhine
1	521004	175033	rhine
1	521007	175014	rhine
1	521015	174995	rhine
1	521018	174990	rhine
1	521021	174983	rhine
1	521026	174965	rhine
1	521032	174957	rhine
1	521047	174942	rhine
1	521061	174899	rhine
1	521068	174889	rhine
1	521068	174886	rhine
1	521082	174874	rhine
1	521090	174872	rhine
1	521103	174866	rhine
1	521109	174859	rhine
1	521113	174851	rhine
1	521125	174821	rhine
1	521140	174794	rhine
1	521144	174786	rhine
1	521156	174772	rhine
1	521177	174716	rhine
1	521192	174687	rhine
1	521212	174674	rhine
1	521237	174675	rhine
1	521259	174681	rhine
1	521288	174693	rhine
1	521349	174707	rhine
1	521363	174710	rhine
1	521368	174711	rhine
1	521451	174727	rhine
1	521549	174743	rhine
1	521615	174761	rhine
1	521627	174763	rhine
1	521650	174768	rhine
1	521686	174769	rhine
1	521720	174784	rhine
1	521757	174796	rhine
1	521794	174835	rhine
1	521814	174846	rhine
1	521861	174866	rhine
1	521875	174887	rhine
1	521884	174913	rhine
1	521897	174950	rhine
1	521915	174966	rhine
1	521952	174974	rhine
1	521972	174983	rhine
1	522007	175005	rhine
