x	y
830903	192607
830894	192586
830906	192534
830889	192497
830863	192481
830854	192444
830830	192430
830819	192406
830793	192380
830774	192370
830761	192354
830753	192331
830730	192295
830712	192243
830727	192210
830728	192177
830753	192134
830844	192083
830865	192073
830882	192052
830913	192046
830914	192016
830912	191938
830904	191861
830902	191772
830918	191750
830925	191710
830942	191670
830933	191646
830881	191590
830861	191563
830807	191546
830786	191516
830755	191490
830700	191484
830686	191472
830681	191439
830654	191461
830618	191466
830534	191495
830515	191492
830450	191493
830454	191468
830465	191452
830466	191433
830458	191391
830439	191317
830432	191278
830421	191240
830391	191168
830381	191151
830290	191046
830261	191021
830205	190988
830234	190905
830251	190867
830300	190779
830341	190712
830355	190695
830385	190677
830400	190656
830406	190638
830417	190580
830425	190560
830435	190543
830442	190526
830451	190487
830479	190413
830489	190397
830519	190372
830486	190351
830402	190265
830351	190222
830306	190194
830286	190173
830275	190165
830267	190150
830235	190129
830189	190077
830181	190032
830177	189999
830179	189980
830186	189961
830228	189885
830234	189866
830237	189850
830233	189841
830218	189763
830211	189705
830212	189685
830219	189666
830238	189632
830256	189590
830299	189539
830329	189528
830358	189478
830347	189424
830306	189358
830313	189345
830311	189325
830272	189234
830264	189184
830258	189174
830246	189157
830219	189130
830200	189096
830143	189039
830118	189008
830109	188991
830101	188974
830100	188954
830113	188918
830125	188911
830140	188894
830132	188875
830122	188856
830114	188838
830111	188819
830110	188775
830100	188736
830072	188640
830064	188603
830058	188582
830041	188546
830018	188491
829994	188415
829970	188358
829959	188340
829944	188326
829909	188302
829895	188290
829882	188275
829873	188259
829869	188240
829870	188221
829883	188176
829872	188097
829865	188077
829844	188043
829814	188013
829796	188004
829749	187989
829694	187987
829682	187978
829719	187914
829715	187892
829699	187857
829677	187801
829648	187737
829466	187670
829359	187566
829277	187480
829001	187321
828730	187279
828495	187252
828336	187222
828285	187198
828280	187081
828271	187014
828157	186869
828136	186905
828081	186907
828086	186847
828136	186665
828184	186589
828094	186370
827983	186349
827857	186273
827799	186230
827833	186179
827846	186153
827865	186100
827863	186081
827929	186079
827950	186072
828071	186005
828140	185963
828276	185927
828311	185908
828328	185885
828335	185845
828363	185770
828378	185735
828405	185698
828435	185668
828468	185645
828640	185576
828673	185557
828690	185500
828700	185375
828698	185328
828705	185280
828730	185215
828785	185093
828815	185058
828950	184948
829033	184908
829128	184830
829230	184588
829263	184528
829318	184468
829328	184385
829328	184328
829313	184243
829320	184148
829343	184105
829363	184053
829358	184008
829337	183937
829385	183843
829405	183793
829410	183750
829408	183720
829428	183683
829440	183635
829460	183620
829480	183598
829518	183520
829525	183478
829540	183430
829543	183405
829530	183353
829520	183334
829563	183135
829545	183048
829555	182968
829543	182860
829488	182648
829470	182563
829465	182485
829403	182263
829353	182273
829298	182295
829253	182320
829215	182335
829138	182328
829083	182333
829005	182323
828925	182321
828923	182308
828666	182059
828408	181820
828008	181457
827252	180930
827240	180885
827195	180813
827178	180775
827183	180748
827184	180721
827163	180678
827135	180648
827050	180573
827010	180553
826973	180553
826938	180545
826900	180525
826863	180495
826840	180455
826805	180370
826775	180345
826738	180340
826713	180325
826643	180320
826600	180303
826533	180243
826433	180205
826375	180160
826350	180120
826322	180048
826310	180003
826345	179960
826420	179895
826515	179853
826623	179755
826658	179733
826903	179625
826923	179583
826940	179565
826975	179550
827003	179528
827040	179450
827045	179415
827043	179380
827060	179258
827070	179218
827085	179183
827125	179128
827150	179100
827175	179033
827200	179008
827220	178995
827265	178973
827313	178905
827338	178863
827393	178815
827413	178793
827443	178715
827455	178698
827553	178618
827653	178588
827713	178560
827792	178528
827795	178490
827780	178453
827730	178373
827723	178343
827730	178258
827720	178188
827713	178160
827728	178093
827753	178028
827738	178000
827713	177968
827673	177943
827643	177930
827613	177895
827590	177853
827560	177750
827560	177698
827568	177635
827580	177575
827580	177533
827568	177458
827593	177433
827624	177410
827603	177380
827575	177348
827553	177338
827520	177333
827503	177310
827493	177283
827490	177250
827273	177055
827230	177035
827198	177010
827145	176983
827055	176963
827005	176945
826793	176938
826738	176930
826667	176982
826306	176155
826236	175903
826211	175914
826192	175882
826179	175814
826179	175734
826203	175705
826171	175651
826143	175631
826142	175567
826028	175345
826002	175303
825990	175226
826014	175217
825973	175187
825971	175143
825921	175117
825886	175127
825853	175058
825779	175025
825729	175029
825669	175061
825624	175032
825593	175019
825563	174987
825577	174930
825528	174893
825480	174905
825474	174885
825328	174903
825233	174901
825183	174837
825112	174604
825112	174565
825233	174487
825303	174435
825323	174415
825403	174300
825428	174253
825440	174193
825460	174128
825485	174070
825505	174035
825563	173978
825580	173933
825595	173878
825613	173838
825645	173813
825740	173715
825768	173558
825788	173495
825813	173438
825820	173403
825835	173373
825895	173280
825880	173213
825925	173195
825973	173185
825965	173115
825913	172880
825893	172833
825883	172785
825888	172755
825968	172603
825983	172540
825973	172418
825973	172328
825978	172285
826025	172208
826045	172078
826043	172023
826035	171970
826029	171946
826020	171933
825965	171838
825920	171770
826003	171510
826023	171430
826023	171355
826078	171333
826174	171305
826202	171190
826346	171127
826349	171098
826367	171042
826372	171015
826372	170995
826370	170974
826366	170953
826354	170915
826350	170895
826350	170877
826352	170856
826356	170839
826375	170788
826380	170763
826380	170742
826442	170717
826493	170645
826522	170622
826538	170606
826592	170525
826616	170471
826665	170395
826685	170357
826707	170223
826728	170120
826738	170024
826779	169925
826785	169906
826785	169866
826788	169845
826810	169804
826815	169785
826817	169752
826808	169718
826795	169683
826781	169659
826683	169538
826875	169349
827215	169199
826583	169499
826422	169358
826268	169284
826068	169238
825894	169251
825719	169244
825673	169144
825505	169017
825371	169110
825311	169231
825304	169385
825278	169519
825271	169726
825278	169900
825204	170081
825164	170215
825016	170315
824849	170382
824635	170195
824488	170262
824327	170342
824220	170289
824160	170202
823897	170298
823831	170358
823798	170453
823731	170479
823503	170486
823457	170633
823343	170620
823262	170687
823262	170834
823173	171042
823161	171145
823009	171243
822804	171350
822733	171243
822572	171208
822447	171199
822349	171047
822242	170878
822126	170789
822046	170610
821984	170468
821725	170396
821494	170388
821387	170388
821360	170503
821306	170637
821280	170860
821190	170958
821083	170985
821030	171163
821003	171448
820807	171538
820477	171662
820221	171788
820021	171663
820021	171457
820003	171233
820039	171045
819967	170911
819869	170758
819806	170687
819663	170687
819546	170723
819493	170776
819331	170839
819215	170812
819054	170741
819027	170660
818830	170499
818705	170311
818562	170132
818418	170024
818347	169989
818293	169881
818356	169801
818380	169698
818392	169577
818463	169451
818472	169326
818380	169305
818338	169165
818230	169058
818114	168986
817989	168887
817863	168816
817828	168512
817980	168279
818078	168073
818177	167965
818230	167786
818266	167545
818347	167437
818372	167298
818418	167200
818406	167148
818407	167089
818362	167063
818494	166822
818538	166697
818525	166447
818654	166379
818667	166257
818627	166169
818691	166061
818779	165908
818836	165839
818941	165744
819074	165695
819311	165593
819589	165539
819751	165573
819927	165681
819981	165370
820117	165383
820327	165370
820537	165288
820652	165275
820794	165248
820977	165146
820985	165086
821050	165057
821108	164961
821182	164878
821261	164779
821253	164651
821261	164547
821232	164404
821203	164312
821184	164199
821113	164069
821224	163958
821427	163892
821607	163862
821811	163639
822041	163625
822210	163686
822367	163581
822541	163468
822632	163445
822843	163389
822948	163381
823014	163378
823144	163366
823124	163155
823023	162876
823010	162653
822867	162409
822739	162131
822732	161975
822962	161725
823179	161583
823348	161488
823518	161332
823687	161196
823856	161054
823978	160898
823856	160756
823694	160654
823586	160492
823436	160275
823403	160180
823350	160118
823292	160051
823235	159920
823207	159799
823195	159684
823198	159544
823180	159438
823108	159317
822970	159198
822862	159121
822764	159024
822641	158911
822568	158829
822505	158753
822406	158661
822131	158890
822022	159078
821878	159260
821682	159511
821631	159560
821535	159602
821395	159619
821191	159535
821093	159433
820935	159374
820678	159213
820519	159160
820374	159137
820294	159165
820152	159237
820203	159141
820090	159279
820066	159299
820051	159353
820028	159373
819962	159348
819929	159343
819908	159333
819827	159335
819792	159349
819725	159330
819643	159333
819618	159314
819588	159305
819551	159308
819513	159307
819451	159319
819394	159322
819340	159362
819296	159381
819271	159377
819228	159379
819101	159400
819073	159466
819059	159492
819055	159512
819026	159541
818997	159581
818967	159612
819004	159714
818998	159754
819021	159789
819039	159848
819052	159871
819082	159902
819113	159950
819109	160020
819095	160090
819106	160106
819099	160144
819102	160165
819099	160193
819077	160221
819069	160242
819073	160268
819058	160292
819071	160320
819059	160368
819061	160401
819023	160425
818966	160454
818924	160510
818898	160526
818885	160566
818800	160635
818764	160708
818756	160736
818728	160765
818658	160826
818631	160884
818600	160918
818575	160959
818562	160989
818543	160998
818539	161010
818537	161027
818538	161049
818520	161095
818517	161109
818525	161148
818525	161166
818524	161184
818497	161225
818496	161284
818494	161295
818500	161308
818513	161322
818511	161341
818495	161371
818500	161388
818490	161431
818482	161450
818457	161466
818432	161534
818395	161543
818381	161554
818361	161575
818357	161585
818355	161605
818359	161639
818342	161643
818323	161645
818297	161651
818280	161668
818271	161670
818242	161669
818225	161684
818176	161692
818147	161703
818126	161702
818105	161708
818067	161674
818047	161672
818026	161676
817982	161692
817949	161691
817932	161699
817875	161747
817832	161762
817815	161772
817768	161814
817756	161799
817719	161795
817685	161784
817653	161796
817528	161855
817516	161871
817492	161924
817476	161932
817342	161965
817322	161974
817258	162013
817215	162037
817197	162050
817185	162064
817178	162079
817173	162137
817168	162160
817149	162188
817149	162210
817131	162233
817116	162248
817104	162266
817089	162277
817082	162290
817050	162295
817020	162329
816992	162344
816980	162355
816970	162379
816955	162402
816941	162403
816859	162348
816821	162335
816802	162332
816781	162325
816748	162302
816729	162299
816649	162304
816630	162315
816583	162315
816554	162322
816539	162323
816519	162323
816507	162307
816498	162288
816486	162269
816406	162197
816395	162182
816383	162169
816367	162158
816348	162150
816282	162136
816274	162110
816243	162083
816226	162054
816195	162015
816177	161998
816148	161978
816131	161980
816108	161977
816085	161967
816068	161954
816037	161921
816010	161882
815973	161860
815897	161775
815854	161720
815859	161693
815801	161647
815691	161677
815535	161804
815201	161997
815168	162043
815133	162164
815108	162260
815095	162293
815082	162309
815052	162323
815038	162332
815023	162347
815014	162366
815012	162387
815014	162408
815049	162514
815044	162580
815036	162620
815020	162678
814998	162732
814992	162752
814981	162810
814972	162889
814971	162929
814967	162949
814981	163008
814980	163029
814951	163080
814934	163094
814914	163104
814898	163118
814887	163136
814883	163155
814885	163214
814877	163315
814867	163326
814862	163344
814865	163390
814840	163480
814818	163489
814796	163537
814784	163561
814770	163578
814760	163597
814768	163653
814770	163701
814776	163741
814780	163754
814802	163773
814808	163789
814811	163805
814800	163832
814788	163850
814785	163859
814787	163872
814796	163887
814806	163914
814795	163942
814805	163965
814818	164004
814827	164022
814840	164038
814864	164072
814888	164093
814876	164109
814868	164127
814868	164143
814876	164155
814941	164177
814961	164187
814975	164203
814986	164222
814996	164247
815009	164268
815040	164304
815065	164388
815076	164413
815104	164460
815108	164478
815109	164519
815103	164560
815103	164579
815108	164588
815126	164598
815138	164634
815166	164679
815167	164701
815173	164727
815188	164742
815197	164760
815209	164790
815224	164847
815239	164872
815244	164899
815264	164914
815273	164938
815294	164960
815371	165026
815386	165037
815417	165049
815450	165085
815461	165104
815480	165173
815489	165187
815501	165218
815519	165249
815549	165288
815537	165318
815531	165335
815530	165355
815531	165371
815536	165384
815558	165407
815637	165532
815667	165576
815689	165623
815728	165684
815756	165736
815762	165754
815768	165783
816009	166014
815825	166199
815630	166395
814882	167278
814588	167810
814504	168287
814502	168401
814509	168421
814507	168437
814492	168448
814484	168499
814484	168517
814489	168546
814479	168561
814478	168588
814485	168608
814487	168626
814485	168702
814477	168713
814465	168723
814432	168727
814401	168725
814379	168727
814368	168722
814362	168715
814357	168701
814352	168691
814342	168683
814332	168677
814315	168676
814285	168676
814276	168675
814268	168670
814262	168659
814253	168649
814235	168642
814227	168632
814164	168613
814150	168598
814140	168579
814138	168552
814127	168542
814118	168522
814100	168509
814078	168504
814067	168499
814042	168483
814033	168467
814021	168463
814013	168458
814000	168457
813986	168452
813971	168453
813959	168450
813949	168450
813940	168445
813932	168444
813930	168434
813926	168430
813912	168429
813894	168420
813880	168409
813863	168404
813826	168378
813819	168372
813799	168366
813782	168353
813768	168350
813753	168340
813732	168319
813719	168310
813695	168302
813685	168293
813668	168290
813656	168286
813640	168273
813627	168258
813606	168229
813584	168184
813566	168172
813559	168164
813552	168149
813546	168109
813541	168100
813533	168096
813525	168096
813509	168102
813489	168105
813479	168104
813465	168106
813445	168104
813433	168093
813424	168073
813418	168066
813407	168061
813389	168061
813379	168057
813364	168043
813331	168029
813315	168020
813299	168001
813278	167995
813256	167941
813240	167924
813231	167904
813202	167881
813178	167866
813165	167855
813155	167838
813147	167806
813125	167785
813122	167777
813121	167735
813115	167711
813113	167698
813114	167665
813116	167647
813113	167635
813096	167611
813093	167595
813088	167588
813072	167578
813052	167572
813043	167563
813031	167556
813029	167544
813007	167508
812993	167494
812985	167484
812961	167438
812966	167428
812955	167413
812952	167405
812952	167396
812956	167386
812953	167346
812962	167320
812972	167300
812962	167277
812958	167262
812968	167236
812967	167213
812978	167202
812981	167179
812987	167162
812987	167151
812985	167145
812975	167139
812957	167134
812952	167119
812923	167103
812919	167096
812918	167081
812910	167069
812910	167060
812900	167007
812648	166618
811947	167018
810945	167246
810946	167274
810902	167357
810900	167423
810903	167439
810966	167519
810946	167526
810886	167556
810521	167504
810151	167311
809460	166850
808602	166338
808586	166354
808572	166362
808539	166370
808527	166369
808515	166375
808478	166379
808460	166386
808441	166384
808419	166373
808397	166371
808388	166367
808367	166347
808360	166336
808356	166322
808350	166311
808339	166305
808328	166284
808314	166265
808305	166258
808289	166253
808275	166240
808262	166237
808203	166237
808189	166232
808174	166225
808138	166242
808101	166254
808077	166235
808069	166234
808008	166252
807988	166244
807973	166235
807950	166234
807920	166238
807874	166220
807824	166196
807772	166188
807763	166177
807755	166163
807751	166151
807732	166145
807710	166119
807701	166101
807667	166075
807647	166052
807615	166035
807600	166033
807586	166024
807553	165991
807547	165979
807511	165962
807505	165950
807495	165940
807485	165934
807458	165926
807433	165909
807410	165898
807398	165898
807381	165893
807370	165884
807348	165875
807334	165854
807301	165823
807280	165813
807258	165799
807240	165791
807223	165778
807201	165750
807175	165730
807152	165731
807104	165753
807083	165738
807035	165745
807010	165746
806977	165752
806944	165746
806928	165746
806912	165752
806889	165746
806859	165747
806844	165755
806829	165756
806813	165749
806793	165735
806764	165724
806703	165720
806683	165679
806683	165654
806678	165634
806677	165617
806679	165610
806678	165596
806671	165570
806662	165550
806664	165524
806681	165489
806670	165484
806656	165456
806657	165413
806663	165398
806643	165384
806627	165361
806609	165360
806503	165396
806471	165367
806454	165336
806436	165322
806420	165315
806405	165282
806391	165261
806375	165257
806354	165227
806339	165213
806298	165212
806279	165192
806266	165183
806213	165177
806165	165175
806113	165144
806051	165116
806006	165086
805982	165066
805964	165074
805948	165084
805923	165105
805908	165097
805895	165109
805855	165122
805817	165126
805791	165122
805755	165122
805742	165135
805719	165153
805686	165171
805666	165159
805618	165171
805558	165178
805541	165166
805517	165164
805488	165146
805464	165146
805433	165154
805409	165140
805383	165129
805344	165139
805320	165139
805280	165153
805246	165173
805230	165176
805191	165175
805148	165188
805064	165230
805033	165237
804984	165244
804954	165242
804890	165253
804876	165262
804865	165275
804853	165282
804838	165297
804833	165307
804817	165321
804797	165333
804773	165343
804739	165351
804712	165360
804684	165365
804668	165380
804622	165390
804564	165420
804551	165432
804540	165452
804526	165471
804506	165488
804489	165499
804460	165508
804435	165541
804407	165567
804362	165620
804353	165635
804340	165627
804318	165629
804290	165637
804268	165646
804259	165635
804246	165630
804223	165631
804206	165628
804197	165629
804179	165637
804154	165639
804130	165627
804117	165624
804105	165627
804096	165634
804083	165638
804070	165638
804034	165625
804024	165626
803964	165530
803957	165460
803954	165401
803958	165335
803909	165210
803844	165149
803786	165082
803774	165032
803776	164981
803822	164805
803861	164767
803911	164627
803953	164576
803987	164541
803932	164453
803898	164393
803887	164322
803806	164237
803738	164204
803716	164166
803742	164114
803735	164057
803745	164032
803717	163955
803705	163861
803691	163821
803702	163758
803680	163695
803687	163643
803717	163589
803738	163547
803802	163493
803839	163432
803874	163394
803934	163340
803979	163284
804013	163230
803958	163099
803974	163080
803945	162979
803951	162929
803965	162902
803953	162884
803978	162862
803990	162834
804009	162808
804033	162788
804057	162775
804054	162702
804031	162676
804018	162644
803996	162543
804006	162515
803876	162443
803789	162322
803713	162164
803699	162086
803669	162026
803651	161945
803631	161900
803597	161885
803548	161871
803495	161840
803437	161839
803399	161851
803341	161826
803301	161812
803226	161801
803069	161742
803021	161731
802974	161729
802936	161709
802758	161679
802711	161660
802680	161638
802651	161635
802582	161659
802392	161624
802343	161610
802343	161482
802350	161378
802458	161168
802544	161125
802704	161005
802775	160914
802793	160872
802857	160799
802889	160750
802874	160710
802838	160666
802786	160590
802729	160553
802732	160536
802711	160497
802716	160472
802672	160334
802584	160322
802470	160191
802324	160007
802060	159933
802005	159938
801870	159805
801803	159681
801838	159593
801815	159499
801731	159424
801673	159253
801720	159063
801682	158950
801610	158818
801501	158801
801413	158749
801280	158634
801219	158557
801147	158305
800804	158170
800688	158149
800574	158147
800484	158188
800387	158198
800278	158084
800152	158060
800013	158075
800021	158018
799987	157902
799933	157801
799833	157683
799814	157632
799814	157556
799824	157350
799858	157273
799923	157220
800010	157097
800180	156990
800288	156954
800410	156862
800524	156803
800579	156717
800576	156607
800530	156578
800469	156557
800382	156482
800356	156397
800399	156285
800409	156250
800436	156226
800458	156196
800490	156165
800527	156099
800535	155985
800585	155918
800648	155710
800615	155623
800638	155317
800635	155217
800594	155088
800573	154967
800485	154671
800385	154609
800275	154507
800250	154455
800187	154408
800141	154350
800043	154343
799964	154348
799919	154304
799803	154295
799801	154240
799822	154152
799826	154096
799849	154007
799853	153899
799891	153833
799909	153775
799945	153605
800041	153473
800076	153374
800238	153287
800351	153165
800270	153003
800201	152935
800099	152761
800116	152704
800094	152586
800055	152462
800052	152406
800072	152306
800063	152216
800093	152109
800137	152031
800208	151990
800265	151863
800353	151832
800295	151789
800285	151638
800231	151596
800203	151541
800071	151391
800019	151285
799983	151196
799974	151144
799979	151087
799963	151043
799950	150956
799976	150856
799987	150770
800017	150749
800026	150713
800104	150651
800131	150616
800111	150590
800151	150584
800251	150533
800278	150507
800309	150469
800361	150383
800378	150363
800401	150349
800421	150341
800470	150313
800491	150299
800507	150278
800520	150257
800533	150229
800542	150181
800547	150168
800618	150113
800632	150098
800647	150078
800657	150056
800664	150026
800659	149986
800646	149932
800641	149919
800637	149900
800665	149813
800684	149770
800667	149739
800671	149698
800663	149658
800661	149628
800663	149609
800670	149596
800706	149544
800715	149528
800720	149508
800722	149488
800720	149429
800722	149415
800730	149405
800849	149348
800863	149329
800890	149271
800866	149238
800857	149221
800847	149181
800752	148901
800762	148797
800626	148708
800484	148630
800359	148502
800320	148459
800327	148403
800334	148381
800350	148343
800359	148325
800359	148313
800351	148283
800321	148257
800310	148250
800233	148234
800218	148228
800188	148210
800151	148198
800120	148172
800114	148159
800140	148127
800117	148042
800109	148031
800041	147980
800033	147971
799986	147887
799976	147871
799973	147854
799972	147832
799974	147761
798508	146014
796951	146014
795589	145486
795589	142577
794616	141256
794421	140462
793842	139416
793859	139428
793828	139440
793745	139444
793686	139473
793398	139537
793223	139441
793141	139433
793039	139402
792934	139350
792856	139320
792803	139313
792689	139318
792659	139287
792588	139239
792387	139148
792320	139144
792251	139110
792220	139075
792011	138997
791924	138904
791835	138868
791802	138803
791749	138745
791684	138657
791661	138576
791660	138530
791672	138485
791757	138314
791774	138260
791765	138210
791712	138157
791666	138139
791616	138098
791325	137985
791274	138038
791238	138093
791254	138199
791272	138268
791217	138342
791126	138486
791035	138532
790957	138583
790911	138595
790866	138585
790840	138543
790794	138510
790744	138497
790677	138452
790552	138675
790513	138797
790306	139057
790248	139140
790206	139203
790163	139278
790084	139465
790025	139493
789966	139514
789900	139604
789824	139584
789629	139443
789563	139426
789457	139356
789400	139306
789364	139265
789356	139244
789363	139214
789335	139198
789288	139146
789218	139101
789185	139116
789149	139122
789095	139123
789061	139115
788920	139031
788882	138990
