FID,FID_1,locality,xkoord,ykoord,OBJECTID_1,OBJECTID,EZGNR,TEILEZGNR,GWLNR,MEASURE,GEWISSNR,CH,SEE,H1,H2,KANAL,FLUSSGB,RELEASE,MUTATION,HIERARCHIE,INTERNS,POLY_ID,tezgnr40,tezgnr150,tezgnr1000,Shape_Leng,Shape_Le_1,Shape_Area
127,229,"578,091","579,000","91,625","4,745","4,745","166,698","66,698",CH0039890000,"1,200","3,989",1,0,"39,603.000000000000000","39,608.000000000000000",0,50,"2,012","2,010",44843,1.000000000000000,"4,065","105,093","120,540","130,454","17,538.613910100001000","17,538.613910100001000","11,556,087.001499999000000"
128,348,"572,083","572,000","83,516","4,839","4,839","130,952","30,952",CH0040020000,"2,274","4,002",1,0,"39,543.000000000000000","39,544.000000000000000",0,50,"2,012","2,010",4482923,1.000000000000000,"88,560","105,752","120,419","130,454","4,708.325265350000300","4,708.325265350000300","826,370.191003000010000"
129,460,"578,163","578,000","163,587","4,871","4,871","127,220","27,220",CH0015890000,0,"1,589",1,0,"22,899.000000000000000","22,952.000000000000000",0,20,"2,012","2,010",2492641,1.000000000000000,"63,273","107,476","120,174","130,315","10,170.808664400000000","10,170.808664400000000","2,561,025.866630000100000"
130,364,"602,163","602,000","163,004","4,874","4,874","148,530","48,530",BE1323370000,0,"132,337",1,0,"24,763.000000000000000","24,764.000000000000000",0,20,"2,012","2,010",249422424,1.000000000000000,"36,720","108,720","120,946","130,358","5,726.555993640000500","5,726.555993640000500","1,320,936.016140000000000"
131,155,"650,163","650,000","163,364","4,878","4,878","139,864","39,864",CH0005010000,"16,867",501,1,0,"26,451.000000000000000","26,460.000000000000000",0,20,"2,012","2,010",2496695,1.000000000000000,"85,713","104,783","120,543","130,336","20,969.343598700001000","20,969.343598700001000","12,043,904.078700000000000"
132,131,"596,147","596,000","147,838","4,914","4,914","189,764","89,764",CH0017370000,4,"1,737",1,0,"25,143.000000000000000","25,144.000000000000000",0,20,"2,012","2,012",2494258,1.000000000000000,"1,543","101,332","120,725","130,358","11,870.354286199999000","11,870.354286199999000","4,609,628.664069999900000"
133,223,"560,123","560,000","123,829","5,030","5,030","184,546","84,546",CH0001000000,"12,752",100,1,0,"38,483.000000000000000","38,488.000000000000000",0,50,"2,012","2,010",415691,1.000000000000000,"98,373","100,540","120,679","130,909","12,880.161514800000000","12,880.161514800000000","5,312,766.020480000400000"
134,382,"638,107","638,438","108,000","5,110","5,110","154,222","54,222",CH0001810000,"13,158",181,1,0,"42,123.000000000000000","42,250.000000000000000",0,50,"2,012","2,010",4823,1.000000000000000,"33,566","100,245","120,848","130,258","13,807.186523700000000","13,807.186523700000000","6,754,502.094220000300000"
135,334,"500,115","500,000","115,893","5,205","5,205","173,521","73,521",CH0000950000,"15,887",95,1,0,"37,519.000000000000000","43,540.000000000000000",0,50,"2,012","2,012",41197,1.000000000000000,"9,497","106,927","120,269","130,511","36,027.335443299999000","36,027.335443299999000","36,639,105.640699998000000"
136,339,"536,179","536,000","179,111","5,242","5,242","123,609","23,609",CH0127590000,"1,743","12,759",1,0,"21,152.000000000000000","21,155.000000000000000",0,20,"2,012","2,010",248857821,1.000000000000000,"79,676","106,514","120,875","130,069","23,993.769827500000000","23,993.769827500000000","13,562,174.740300000000000"
