x	y
721783	99860
721833	99918
721883	99985
721925	100023
722005	100070
722033	100130
722083	100183
722095	100203
722105	100238
722150	100270
722173	100300
722188	100413
722218	100453
722213	100480
722145	100568
722098	100678
722100	100693
722155	100833
722178	100965
722178	101030
722195	101058
722238	101098
722270	101135
722295	101155
722323	101160
722350	101183
722405	101245
722425	101258
722455	101265
722495	101288
722565	101298
722588	101330
722608	101385
722620	101403
722675	101385
722718	101363
722765	101345
722825	101345
722868	101363
722918	101398
722955	101413
723025	101403
723065	101413
723148	101460
723175	101498
723228	101550
723375	101663
723433	101700
723495	101730
723543	101773
723568	101803
723650	101868
723678	101885
723698	101893
723750	101945
723808	101993
723868	102083
723905	102105
723950	102093
724010	102113
724053	102110
724123	102125
724155	102138
724195	102140
724230	102133
724290	102100
724423	102220
724488	102315
724515	102368
724533	102393
724623	102450
724703	102485
724868	102475
724918	102480
725000	102480
725100	102473
725163	102370
725188	102358
725208	102363
725230	102363
725278	102323
725323	102325
725353	102345
725480	102305
725528	102315
725665	102390
725730	102413
725805	102433
725870	102460
725925	102473
725960	102470
726045	102440
726078	102468
726118	102493
726168	102510
726233	102523
726345	102530
726450	102553
726540	102535
726553	102563
726580	102580
726613	102618
726668	102670
726700	102690
726768	102705
726810	102785
726840	102815
726870	102855
726873	102898
726895	103055
726868	103215
726865	103258
726828	103305
726830	103485
726873	103635
726873	103930
726903	104043
726943	104090
726998	104143
727080	104160
727123	104183
727180	104223
727223	104260
727245	104298
727270	104325
727293	104360
727280	104455
727618	105023
727678	105145
727678	105190
727690	105295
727680	105383
727655	105543
727645	105628
727618	105673
727560	105805
727545	105848
727503	105933
727415	106143
727275	106403
727250	106468
727165	106628
727018	106958
727000	106988
726955	107143
726938	107235
726908	107313
726890	107378
726878	107465
726835	107550
726813	107633
726770	107703
726740	107788
726738	107815
726710	107878
726660	107898
726638	107920
726615	107973
726600	107998
726550	108060
726418	108275
726388	108408
726360	108468
726358	108568
726333	108578
726290	108700
726333	108760
726413	108813
726498	108895
726543	108923
726565	108948
726565	108975
726593	108960
726620	108953
726640	108958
726670	108983
726708	109038
726773	109078
726803	109073
726828	109078
726913	109143
726975	109158
727030	109180
727088	109183
727125	109208
727148	109218
727170	109220
727203	109238
727275	109268
727285	109290
727293	109330
727315	109350
727315	109375
727338	109400
727403	109448
727443	109463
727465	109480
727480	109498
727528	109513
727583	109558
727680	109590
727773	109598
727815	109625
727853	109635
727943	109653
728033	109648
728053	109655
728078	109678
728115	109705
728125	109720
728148	109740
728210	109765
728240	109770
728303	109768
728333	109753
728403	109705
728393	109748
728395	109773
728420	109848
728430	109890
728488	110000
728565	110038
728605	110103
728653	110160
728728	110233
728800	110315
728823	110315
728885	110343
728920	110365
728948	110378
728983	110373
729015	110375
729083	110398
729165	110460
