#BDM_EPT_DATA_VERSION_20150828														
#gives_all_records_of_macroinvertebrates_from_2009-2014														
sort_nr	year	locality	xkoord	ykoord	drainage	species	genus	family	order	class	IBCH_EPT	nr_ind		
2798	2009	707166	707793	166000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	1		
2822	2009	707246	707000	246000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	4		
2995	2009	725222	725782	220007	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	2		
3075	2009	773142	773190	142000	INN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
2308	2010	542155	542000	155385	RHONE	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
2197	2010	560147	560578	148000	RHONE	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	3		
2144	2010	566131	566591	131000	RHONE	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	9		
2113	2010	566171	566355	172000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	1		
2056	2010	578139	578000	139423	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	6		
1942	2010	590147	591000	147114	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	5		
1918	2010	596171	596344	172000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	10		
1882	2010	602155	602772	156000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	2		
1746	2010	614203	615000	203459	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	2		
1700	2010	614243	614000	243915	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
1669	2010	620187	620308	188000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	1		
1612	2010	626211	626000	211994	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
1452	2010	638219	639000	219094	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	9		
1412	2010	644163	644000	163552	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	1		
1387	2010	644203	644000	203736	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	1		
1305	2010	650187	650000	187493	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	2		
1257	2010	656131	656366	132000	RHONE	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
1243	2010	656171	656000	171980	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	2		
1192	2010	662195	662000	195645	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	3		
1173	2010	668179	668000	179480	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	2		
1089	2010	674243	674435	244000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
1046	2010	686171	686000	171624	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
998	2010	692115	692428	116000	TICINO	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
975	2010	692155	692000	155008	TICINO	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	2		
954	2010	692195	692912	196000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
913	2010	692235	692000	235820	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	3		
825	2010	704243	704000	243357	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	4		
730	2010	710267	710442	268000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	1		
703	2010	716131	716000	131574	TICINO	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	2		
620	2010	722115	723000	115794	TICINO	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	8		
519	2010	728179	729000	179796	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	2		
495	2010	728219	728000	219416	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
437	2010	734243	734701	244000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	6		
360	2010	746211	746534	212000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
319	2010	746251	746000	251546	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	1		
225	2010	770147	770878	148000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	1		
